dt_beg_utc,dt_end_utc,pollutant,sensor_id,segment_id,value_raw,value_sg
2023-05-09 11:00:00+00:00,2023-05-09 12:00:00+00:00,O3,S12,3,36.31958333333333,33.25214090909091
2023-05-09 12:00:00+00:00,2023-05-09 13:00:00+00:00,O3,S12,3,38.58728333333333,33.461346348096434
2023-05-09 13:00:00+00:00,2023-05-09 14:00:00+00:00,O3,S12,3,39.2401,35.29760672105681
2023-05-09 14:00:00+00:00,2023-05-09 15:00:00+00:00,O3,S12,3,40.482433333333326,34.942544094794194
2023-05-09 15:00:00+00:00,2023-05-09 16:00:00+00:00,O3,S12,3,40.215,34.10070446775457
2023-05-09 16:00:00+00:00,2023-05-09 17:00:00+00:00,O3,S12,3,40.01126666666666,33.81313092463102
2023-05-09 17:00:00+00:00,2023-05-09 18:00:00+00:00,O3,S12,3,38.58631666666667,34.22904704739714
2023-05-09 18:00:00+00:00,2023-05-09 19:00:00+00:00,O3,S12,3,35.81935,33.2974510101011
2023-05-09 19:00:00+00:00,2023-05-09 20:00:00+00:00,O3,S12,3,34.95471666666667,31.89423069153078
2023-05-09 20:00:00+00:00,2023-05-09 21:00:00+00:00,O3,S12,3,34.23725,29.972785159285245
2023-05-09 21:00:00+00:00,2023-05-09 22:00:00+00:00,O3,S12,3,31.243416666666672,29.380299378399464
2023-05-09 22:00:00+00:00,2023-05-09 23:00:00+00:00,O3,S12,3,29.421350000000004,27.886444289044363
2023-05-09 23:00:00+00:00,2023-05-10 00:00:00+00:00,O3,S12,3,27.861183333333333,25.353554351204423
2023-05-10 00:00:00+00:00,2023-05-10 01:00:00+00:00,O3,S12,3,26.567866666666664,24.65987991452998
2023-05-10 01:00:00+00:00,2023-05-10 02:00:00+00:00,O3,S12,3,25.0527,21.237189588189647
2023-05-10 02:00:00+00:00,2023-05-10 03:00:00+00:00,O3,S12,3,22.91615,20.02242066822072
2023-05-10 03:00:00+00:00,2023-05-10 04:00:00+00:00,O3,S12,3,21.157966666666667,19.202974358974416
2023-05-10 04:00:00+00:00,2023-05-10 05:00:00+00:00,O3,S12,3,19.76301666666667,17.2504841491842
2023-05-10 05:00:00+00:00,2023-05-10 06:00:00+00:00,O3,S12,3,25.804583333333337,21.389822766122826
2023-05-10 06:00:00+00:00,2023-05-10 07:00:00+00:00,O3,S12,3,31.27671666666667,28.556262587412675
2023-05-10 07:00:00+00:00,2023-05-10 08:00:00+00:00,O3,S12,3,33.620416666666664,30.636781390831477
2023-05-10 08:00:00+00:00,2023-05-10 09:00:00+00:00,O3,S12,3,35.703,32.157586091686184
2023-05-10 09:00:00+00:00,2023-05-10 10:00:00+00:00,O3,S12,3,38.56575,33.627229292929385
2023-05-10 10:00:00+00:00,2023-05-10 11:00:00+00:00,O3,S12,3,39.6467,36.46358348873359
2023-05-10 11:00:00+00:00,2023-05-10 12:00:00+00:00,O3,S12,3,40.21513333333333,36.53508768453779
2023-05-10 12:00:00+00:00,2023-05-10 13:00:00+00:00,O3,S12,3,39.01466666666666,34.94953791763802
2023-05-10 13:00:00+00:00,2023-05-10 14:00:00+00:00,O3,S12,3,39.03785,34.001320007770104
2023-05-10 14:00:00+00:00,2023-05-10 15:00:00+00:00,O3,S12,3,38.32155,36.541442812742915
2023-05-10 15:00:00+00:00,2023-05-10 16:00:00+00:00,O3,S12,3,37.0445,31.919446736596825
2023-05-10 16:00:00+00:00,2023-05-10 17:00:00+00:00,O3,S12,3,30.514016666666667,26.551658080808153
2023-05-10 17:00:00+00:00,2023-05-10 18:00:00+00:00,O3,S12,3,27.995516666666663,25.730421406371477
2023-05-10 18:00:00+00:00,2023-05-10 19:00:00+00:00,O3,S12,3,24.58791666666667,22.443825990676054
2023-05-10 19:00:00+00:00,2023-05-10 20:00:00+00:00,O3,S12,3,24.185716666666668,21.787408080808145
2023-05-10 20:00:00+00:00,2023-05-10 21:00:00+00:00,O3,S12,3,22.88113333333333,19.663854972805026
2023-05-10 21:00:00+00:00,2023-05-10 22:00:00+00:00,O3,S12,3,22.432916666666667,20.69291142191148
2023-05-10 22:00:00+00:00,2023-05-10 23:00:00+00:00,O3,S12,3,24.10265,20.25722517482523
2023-05-10 23:00:00+00:00,2023-05-11 00:00:00+00:00,O3,S12,3,25.99345,23.381410139860204
2023-05-11 00:00:00+00:00,2023-05-11 01:00:00+00:00,O3,S12,3,27.296000000000003,25.5157497280498
2023-05-11 01:00:00+00:00,2023-05-11 02:00:00+00:00,O3,S12,3,27.652833333333334,24.73343916083923
2023-05-11 02:00:00+00:00,2023-05-11 03:00:00+00:00,O3,S12,3,28.32835,27.86762346542354
2023-05-11 03:00:00+00:00,2023-05-11 04:00:00+00:00,O3,S12,3,28.5072,25.64379568764576
2023-05-11 04:00:00+00:00,2023-05-11 05:00:00+00:00,O3,S12,3,27.692116666666664,25.35726212121219
2023-05-11 05:00:00+00:00,2023-05-11 06:00:00+00:00,O3,S12,3,27.708966666666665,27.022848601398678
2023-05-11 06:00:00+00:00,2023-05-11 07:00:00+00:00,O3,S12,3,28.236616666666663,25.392213752913825
2023-05-11 07:00:00+00:00,2023-05-11 08:00:00+00:00,O3,S12,3,29.9412,27.72181087801095
2023-05-11 08:00:00+00:00,2023-05-11 09:00:00+00:00,O3,S12,3,34.93471666666667,31.95651099456108
2023-05-11 09:00:00+00:00,2023-05-11 10:00:00+00:00,O3,S12,3,36.526833333333336,33.22123461538471
2023-05-11 10:00:00+00:00,2023-05-11 11:00:00+00:00,O3,S12,3,38.427416666666666,34.609877816627915
2023-05-11 11:00:00+00:00,2023-05-11 12:00:00+00:00,O3,S12,3,38.316,35.09231923076933
2023-05-11 12:00:00+00:00,2023-05-11 13:00:00+00:00,O3,S12,3,38.69155,35.77606161616171
2023-05-11 13:00:00+00:00,2023-05-11 14:00:00+00:00,O3,S12,3,40.20636666666667,36.28030734265745
2023-05-11 14:00:00+00:00,2023-05-11 15:00:00+00:00,O3,S12,3,38.08466666666667,34.69163799533809
2023-05-11 15:00:00+00:00,2023-05-11 16:00:00+00:00,O3,S12,3,37.418416666666666,33.386230613830705
2023-05-11 16:00:00+00:00,2023-05-11 17:00:00+00:00,O3,S12,3,36.88543333333333,35.14884891219901
2023-05-11 17:00:00+00:00,2023-05-11 18:00:00+00:00,O3,S12,3,36.57546666666666,33.656764879564975
2023-05-11 18:00:00+00:00,2023-05-11 19:00:00+00:00,O3,S12,3,35.08016666666666,32.60214125874135
2023-05-11 19:00:00+00:00,2023-05-11 20:00:00+00:00,O3,S12,3,32.69051666666667,29.728769153069237
2023-05-11 20:00:00+00:00,2023-05-11 21:00:00+00:00,O3,S12,3,29.813900000000004,27.805827972028048
2023-05-11 21:00:00+00:00,2023-05-11 22:00:00+00:00,O3,S12,3,28.79115,24.836652369852438
2023-05-11 22:00:00+00:00,2023-05-11 23:00:00+00:00,O3,S12,3,29.208233333333336,27.512897668997745
2023-05-11 23:00:00+00:00,2023-05-12 00:00:00+00:00,O3,S12,3,28.807266666666667,27.678293667443747
2023-05-12 00:00:00+00:00,2023-05-12 01:00:00+00:00,O3,S12,3,28.922116666666668,24.228507109557174
2023-05-12 01:00:00+00:00,2023-05-12 02:00:00+00:00,O3,S12,3,21.07196666666667,19.419212470862522
2023-05-12 02:00:00+00:00,2023-05-12 03:00:00+00:00,O3,S12,3,21.547066666666662,18.85396487956493
2023-05-12 03:00:00+00:00,2023-05-12 04:00:00+00:00,O3,S12,3,21.39445,19.772331157731212
2023-05-12 04:00:00+00:00,2023-05-12 05:00:00+00:00,O3,S12,3,21.886916666666668,19.710677622377677
2023-05-12 05:00:00+00:00,2023-05-12 06:00:00+00:00,O3,S12,3,27.80295,28.282235470085546
2023-05-12 06:00:00+00:00,2023-05-12 07:00:00+00:00,O3,S12,3,31.389333333333337,28.446894405594485
2023-05-12 07:00:00+00:00,2023-05-12 08:00:00+00:00,O3,S12,3,32.23015,30.84373146853155
2023-05-12 08:00:00+00:00,2023-05-12 09:00:00+00:00,O3,S12,3,31.981466666666662,29.819015423465505
2023-05-12 09:00:00+00:00,2023-05-12 10:00:00+00:00,O3,S12,3,33.974066666666666,32.14878026418035
2023-05-12 10:00:00+00:00,2023-05-12 11:00:00+00:00,O3,S12,3,37.7387,35.75511421911432
2023-05-12 11:00:00+00:00,2023-05-12 12:00:00+00:00,O3,S12,3,38.75606666666667,33.90575726495736
2023-05-12 12:00:00+00:00,2023-05-12 13:00:00+00:00,O3,S12,3,37.03444999999999,34.18482486402496
2023-05-12 13:00:00+00:00,2023-05-12 14:00:00+00:00,O3,S12,3,37.2585,34.81158302253312
2023-05-12 14:00:00+00:00,2023-05-12 15:00:00+00:00,O3,S12,3,36.84483333333333,32.04986814296823
2023-05-12 15:00:00+00:00,2023-05-12 16:00:00+00:00,O3,S12,3,36.13381666666667,33.29507672882682
2023-05-12 16:00:00+00:00,2023-05-12 17:00:00+00:00,O3,S12,3,35.61691666666666,31.775774786324874
2023-05-12 17:00:00+00:00,2023-05-12 18:00:00+00:00,O3,S12,3,33.2224,30.674753496503584
2023-05-12 18:00:00+00:00,2023-05-12 19:00:00+00:00,O3,S12,3,32.7481,29.344243162393248
2023-05-12 19:00:00+00:00,2023-05-12 20:00:00+00:00,O3,S12,3,31.11305,29.529506876456956
2023-05-12 20:00:00+00:00,2023-05-12 21:00:00+00:00,O3,S12,3,30.8827,29.037288811188887
2023-05-12 21:00:00+00:00,2023-05-12 22:00:00+00:00,O3,S12,3,29.332616666666667,27.658933177933257
2023-05-12 22:00:00+00:00,2023-05-12 23:00:00+00:00,O3,S12,3,27.48075,27.174800466200544
2023-05-12 23:00:00+00:00,2023-05-13 00:00:00+00:00,O3,S12,3,28.37885,25.882253341103414
2023-05-13 00:00:00+00:00,2023-05-13 01:00:00+00:00,O3,S12,3,25.464416666666665,22.734675718725782
2023-05-13 01:00:00+00:00,2023-05-13 02:00:00+00:00,O3,S12,3,23.019666666666662,22.493490209790274
2023-05-13 02:00:00+00:00,2023-05-13 03:00:00+00:00,O3,S12,3,20.245716666666667,20.146923776223833
2023-05-13 03:00:00+00:00,2023-05-13 04:00:00+00:00,O3,S12,3,19.58601666666667,17.733329292929344
2023-05-13 04:00:00+00:00,2023-05-13 05:00:00+00:00,O3,S12,3,21.059266666666662,20.697704506604566
2023-05-13 05:00:00+00:00,2023-05-13 06:00:00+00:00,O3,S12,3,22.770733333333336,22.01531585081591
2023-05-13 06:00:00+00:00,2023-05-13 07:00:00+00:00,O3,S12,3,23.78271666666667,22.960495998446063
2023-05-13 07:00:00+00:00,2023-05-13 08:00:00+00:00,O3,S12,3,25.039283333333334,24.582007303807373
2023-05-13 08:00:00+00:00,2023-05-13 09:00:00+00:00,O3,S12,3,26.2394,24.91850594405601
2023-05-13 09:00:00+00:00,2023-05-13 10:00:00+00:00,O3,S12,3,25.54201666666667,24.857831429681504
2023-05-13 10:00:00+00:00,2023-05-13 11:00:00+00:00,O3,S12,3,26.05353333333333,23.71054790209797
2023-05-13 11:00:00+00:00,2023-05-13 12:00:00+00:00,O3,S12,3,25.91335,24.78129526029533
2023-05-13 12:00:00+00:00,2023-05-13 13:00:00+00:00,O3,S12,3,25.339233333333336,25.370132439782513
2023-05-13 13:00:00+00:00,2023-05-13 14:00:00+00:00,O3,S12,3,26.606700000000004,25.228369308469375
2023-05-13 14:00:00+00:00,2023-05-13 15:00:00+00:00,O3,S12,3,27.30728333333333,26.61914708624716
