pollutant,sensor_id,segment_id,start_time_utc,end_time_utc,num_samples,duration_hours,remaining_missing,sampling_frequency_samples_per_hour,default_modulation_input,recommended_for_modulation,priority
NO2,S10,1,2021-12-16 09:00:00+00:00,2022-03-25 10:00:00+00:00,2378,2377,0,1,value_sg,yes,medium
NO2,S10,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
NO2,S10,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
NO2,S12,1,2021-12-16 07:00:00+00:00,2022-03-25 10:00:00+00:00,2380,2379,0,1,value_sg,yes,medium
NO2,S12,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
NO2,S12,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
NO2,S14,1,2021-12-16 07:00:00+00:00,2022-03-25 10:00:00+00:00,2380,2379,0,1,value_sg,yes,medium
NO2,S14,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
NO2,S14,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
NO2,S5,1,2021-12-16 07:00:00+00:00,2022-03-25 10:00:00+00:00,2380,2379,0,1,value_sg,yes,medium
NO2,S5,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
NO2,S5,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
O3,S10,1,2021-12-16 09:00:00+00:00,2022-03-25 10:00:00+00:00,2378,2377,0,1,value_sg,yes,medium
O3,S10,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
O3,S10,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
O3,S12,1,2021-12-16 07:00:00+00:00,2022-03-25 10:00:00+00:00,2380,2379,0,1,value_sg,yes,medium
O3,S12,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
O3,S12,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
O3,S14,1,2021-12-16 07:00:00+00:00,2022-03-25 10:00:00+00:00,2380,2379,0,1,value_sg,yes,medium
O3,S14,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
O3,S14,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
O3,S5,1,2021-12-16 07:00:00+00:00,2022-03-25 10:00:00+00:00,2380,2379,0,1,value_sg,yes,medium
O3,S5,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
O3,S5,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
PM10,S10,1,2021-12-16 09:00:00+00:00,2022-03-25 10:00:00+00:00,2378,2377,0,1,value_sg,yes,medium
PM10,S10,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
PM10,S10,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
PM10,S5,1,2021-12-16 07:00:00+00:00,2022-03-25 10:00:00+00:00,2380,2379,0,1,value_sg,yes,medium
PM10,S5,2,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
PM10,S5,3,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
PM2_5,S10,1,2021-12-16 09:00:00+00:00,2022-02-17 03:00:00+00:00,1507,1506,0,1,value_sg,yes,medium
PM2_5,S10,2,2022-02-17 06:00:00+00:00,2022-03-25 10:00:00+00:00,869,868,0,1,value_sg,yes,low
PM2_5,S10,3,2022-08-16 08:00:00+00:00,2023-03-28 06:00:00+00:00,5375,5374,0,1,value_sg,yes,high
PM2_5,S10,4,2023-05-09 11:00:00+00:00,2023-06-14 08:00:00+00:00,862,861,0,1,value_sg,yes,low
